Year,Sea_level,Kenaikan,ln_Sea_level
1993,-32.84297297297300,0.0000000000000000,-3.52
1994,-28.40513513513510,4.4378378378378300,-3.38
1995,-24.04108108108110,4.3640540540540600,-3.22
1996,-23.59416666666670,0.4469144144144150,-3.20
1997,-19.00810810810810,4.5860585585585600,-3.00
1998,-20.48405405405410,-1.4759459459459500,-3.07
1999,-18.54108108108110,1.9429729729729700,-2.97
2000,-13.37729729729730,5.1637837837837800,-2.67
2001,-7.28135135135135,6.0959459459459500,-2.11
2002,-5.62888888888889,1.6524624624624600,-1.89
2003,-3.69972972972973,1.9291591591591600,-1.55
2004,-1.68027027027027,2.0194594594594600,-0.99
2005,3.10594594594595,4.7862162162162200,1.41
2006,4.53750000000000,1.4315540540540500,1.71
2007,5.13918918918919,0.6016891891891890,1.81
2008,7.34694444444445,2.2077552552552600,2.12
2009,12.39648648648650,5.0495420420420400,2.59
2010,13.73324324324320,1.3367567567567600,2.69
2011,13.08594594594590,-0.6472972972973050,2.65
2012,23.98810810810810,10.9021621621622000,3.22
2013,26.38891891891890,2.4008108108108000,3.31
2014,30.06083333333330,3.6719144144144200,3.44
2015,40.98162162162160,10.9207882882883000,3.74
2016,42.56621621621620,1.5845945945945800,3.77
2017,42.62459459459460,0.0583783783783858,3.78
2018,46.20027027027030,3.5756756756756600,3.85
2019,53.60945945945950,7.4091891891892100,4.00
2020,54.30666666666670,0.6972072072072000,4.01
2021,58.15297297297300,3.8463063063063100,4.08
2022,60.49702702702700,2.3440540540540600,4.12
2023,68.35108108108110,7.8540540540540200,4.24
2024,72.88216216216220,4.5310810810811000,4.30
2025,72.69800000000000,-0.1841621621621390,4.30
